Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-Aurora-001,Aurora,Ontario, Design and implement a tiered code/green standard that encourages higher energy efficiency.,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Aurora-002,Aurora,Ontario,"Design the retrofit program to address the most common high energy uses in the home. High energy uses include space heating, insulation, appliances, water heating, windows, etc. The program could include solar PV/thermal, use of air source heat pumps, where appropriate. ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,Yes,Planned,,,,,,,,,
ID-Aurora-003,Aurora,Ontario,Consider adapting regional ‘net-zero standard by 2030’ building code. A local example is the Toronto Green Standard Version 3 (TGS). The TGS presents four tiers to net-zero energy and emissions in new buildings by 2030. ,Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Planned,,,,,,,,,
ID-Aurora-004,Aurora,Ontario,"Design the retrofit program to address the most common high energy uses in businesses and institutions. High energy uses include space heating, insulation, water heating, windows, etc. The program could include solar PV/thermal, use of air source heat pumps, where appropriate. ",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,Yes,Yes,Planned,,,,,,,,,
ID-Aurora-005,Aurora,Ontario,Consider requiring buildings to be commissioned/recommissioned before the time of sale  and Consider requiring buildings to be commissioned/recommissioned before the time of sale.,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Planned,,,,,,,,,
ID-Aurora-006,Aurora,Ontario,Encourage the use of energy management systems to support energy savings. This includes promoting and leveraging existing programs and funding streams. Examples of energy management systems include: o ENERGY STAR: provides an approach to develop energy management programs. ENERGY STAR uses energy best practices and benchmarking tools. o ISO 50001: an internationally recognized standard. ISO 50001 provides a framework to implement energy management systems. It also provides a framework for continuous energy improvements for industry. ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,Promote building energy rating systems (commercial and residential),Yes,No,Planned,,,,,,,,,
ID-Aurora-007,Aurora,Ontario,Support knowledge exchange and capacity building through existing best practice networks for industry. ,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Support best practice information sharing among, for example, building owners, industry, and other stakeholders. ",No,No,Underway,,,,,,,,,
ID-Brampton-001,Brampton,Ontario,Pursue collaborations with community groups and other organizations to build awareness of the CEERP.,Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Ongoing,,,,,,,,,
ID-Brampton-002,Brampton,Ontario,"Update energy and GHG emissions data on regular cycles (e.g. annually, every five years).",Action under consideration by municipality - not enough information to code.,,,No,No,Ongoing,,,,,,,,,
ID-Brampton-003,Brampton,Ontario,Work with the development industry to continually improve energy performance of new construction.,Voluntary Action,Encourage Improved Energy Efficiency Performance of New Buildings,Promote building energy rating systems (commercial and residential) or standards,No,No,Ongoing,,,,,,,,,
