Municipality (n=104),Province,Latitude,Longitude,Year,Population,Part of NZAP (Y/N),Part of GCoM with a Mitigation Plan (Y/N),Part of PPC (Y/N),CAP Filename
Aurora,Ontario,44.00648,-79.450396,2021,61000,NO,NO,NO,Ontario_Aurora
Brampton,Ontario,43.7315479,-79.7624177,2020,656480,NO,YES,NO,Ontario_Brampton
Brandon,Manitoba,49.8437486,-99.9514807,2023,48859,YES,NO,YES,Manitoba_Brandon
Burlington,Ontario,43.3255196,-79.7990319,2020,730000,NO,YES,YES,Ontario_Burlington
Caledon,Ontario,43.8701204,-79.8670882,2021,80000,NO,YES,YES,Ontario_Caledon
Calgary,Alberta,51.0447331,-114.0718831,2022,1267344,YES,YES,YES,Alberta_Calgary
Cambridge,Ontario,43.3616211,-80.3144276,2020,141000,NO,NO,YES,Ontario_Cambridge
Candiac,Québec,45.3806689,-73.5077689,2022,23000,YES,YES,NO,Quebec_Candiac
Canmore,Alberta,51.0883666,-115.3479101,2018,13992,NO,YES,NO,Alberta_Canmore
City of Brantford,Ontario,43.1394179,-80.263616,2022,100000,YES,NO,NO,Ontario_City of Brantford
City of Leduc,Alberta,53.2647566,-113.5525216,2020,36060,YES,NO,NO,Alberta_City of Leduc
City of Markham,Ontario,43.8599076,-79.3349945,2011,384000,YES,NO,YES,Ontario_City of Markham
City of Prince George,British Columbia,53.9128548,-122.7452951,2020,74003,NO,NO,YES,British Columbia_City of Prince George
City of Regina,Saskatchewan,50.4452112,-104.6188944,2022,236000,NO,NO,YES,Saskatchewan_City of Regina
City of Richmond,British Columbia,49.1665898,-123.133569,2014,198309,NO,NO,YES,British Columbia_City of Richmond
City of Sault Ste. Marie,Ontario,46.5136494,-84.3357526,2020,73000,NO,NO,YES,Ontario_City of Sault Ste. Marie
City of West Hants,Nova Scotia,44.9403847,-64.1252333,2021,187000,YES,NO,NO,Nova Scotia_City of West Hants
Comox Valley,British Columbia,49.7064188,-125.021945,2015,66527,NO,NO,YES,British Columbia_Comox Valley
Coquitlam,British Columbia,49.2837626,-122.7932065,2022,139284,NO,NO,YES,British Columbia_Coquitlam
Corner Brook,Newfoundland and Labrador,48.9523316,-57.9460401,2019,19806,NO,NO,YES,Newfoundland and Labrador_Corner Brook
Cornwall,Ontario,45.0212762,-74.730345,2023,47000,YES,NO,NO,Ontario_Cornwall
Corporation of the City of Cranbrook,British Columbia,49.5129678,-115.7694002,2021,20499,YES,NO,NO,British Columbia_Corporation of the City of Cranbrook
Corporation of the City of Windsor,Ontario,42.3182429,-83.0104136,2017,229600,YES,YES,NO,Ontario_Corporation of the City of Windsor
County of Wellington,Ontario,43.7803323,-80.543845,,100000,YES,NO,YES,Ontario_County of Wellington
Delta,British Columbia,49.0952155,-123.0264759,2013,106238,YES,NO,YES,British Columbia_Delta
District Municipality of Muskoka,Ontario,45.1090674,-79.5875195,2024,60000,YES,NO,NO,Ontario_District Municipality of Muskoka
District of North Vancouver,British Columbia,49.3371057,-123.038208,2017,85000,NO,YES,YES,British Columbia_District of North Vancouver
District of Saanich,British Columbia,48.4527784,-123.3754551,2020,119000,NO,YES,YES,British Columbia_District of Saanich
District of Sooke,British Columbia,48.3773004,-123.7236293,2022,15084,YES,NO,NO,British Columbia_District of Sooke
Dufferin,Ontario,44.0527524,-80.1875065,2023,61735,YES,NO,YES,Ontario_Dufferin
